status,pr_url,hub_id,downloads,likes
,,[kunishou/databricks-dolly-69k-ja-en-translation](https://huggingface.co/datasets/kunishou/databricks-dolly-69k-ja-en-translation),22,7
,,[vhtran/de-en-2023](https://huggingface.co/datasets/vhtran/de-en-2023),23,1
,,[Suchinthana/Databricks-Dolly-15k-si-en-mix](https://huggingface.co/datasets/Suchinthana/Databricks-Dolly-15k-si-en-mix),24,0
,,[alvations/globalvoices-en-es](https://huggingface.co/datasets/alvations/globalvoices-en-es),33,1
,,[stas/wmt16-en-ro-pre-processed](https://huggingface.co/datasets/stas/wmt16-en-ro-pre-processed),40,0
,,[j0selit0/insurance-qa-en](https://huggingface.co/datasets/j0selit0/insurance-qa-en),64,3
,,[manu/opus100-en-fr](https://huggingface.co/datasets/manu/opus100-en-fr),76,0
,,[dmayhem93/agieval-sat-en-without-passage](https://huggingface.co/datasets/dmayhem93/agieval-sat-en-without-passage),86,0
,,[dmayhem93/agieval-logiqa-en](https://huggingface.co/datasets/dmayhem93/agieval-logiqa-en),86,0
,,[dmayhem93/agieval-sat-en](https://huggingface.co/datasets/dmayhem93/agieval-sat-en),87,2
,,[manu/wmt-en-fr](https://huggingface.co/datasets/manu/wmt-en-fr),107,0
,,[vhtran/uniq-id-en](https://huggingface.co/datasets/vhtran/uniq-id-en),118,0
,,[stas/wmt14-en-de-pre-processed](https://huggingface.co/datasets/stas/wmt14-en-de-pre-processed),423,1
,,[Jackmin108/c4-en-validation](https://huggingface.co/datasets/Jackmin108/c4-en-validation),1131,0
,,[cfilt/iitb-english-hindi](https://huggingface.co/datasets/cfilt/iitb-english-hindi),1147,11
,,[argilla/databricks-dolly-15k-curated-en](https://huggingface.co/datasets/argilla/databricks-dolly-15k-curated-en),9651261,9
,,[jegormeister/dutch-snli](https://huggingface.co/datasets/jegormeister/dutch-snli),90,0
,,[Iskaj/dutch_corpora_parliament_processed](https://huggingface.co/datasets/Iskaj/dutch_corpora_parliament_processed),88,0
,,[AgentWaller/dutch-formatted-oasst1](https://huggingface.co/datasets/AgentWaller/dutch-formatted-oasst1),0,0
,,[AgentWaller/dutch-oasst1-qlora-format](https://huggingface.co/datasets/AgentWaller/dutch-oasst1-qlora-format),0,0
,,[BramVanroy/stackoverflow-chat-dutch-llamav2-format](https://huggingface.co/datasets/BramVanroy/stackoverflow-chat-dutch-llamav2-format),0,0
,,[manu/french_librispeech_text_only](https://huggingface.co/datasets/manu/french_librispeech_text_only),76,0
,,[tbboukhari/Alpaca-in-french](https://huggingface.co/datasets/tbboukhari/Alpaca-in-french),8,0
,,[ismailiismail/multi_paraphrasing_french](https://huggingface.co/datasets/ismailiismail/multi_paraphrasing_french),6,0
,,[FreedomIntelligence/alpaca-gpt4-french](https://huggingface.co/datasets/FreedomIntelligence/alpaca-gpt4-french),4,0
,,[FreedomIntelligence/sharegpt-french](https://huggingface.co/datasets/FreedomIntelligence/sharegpt-french),2,0
,,[vekkt/french_CEFR](https://huggingface.co/datasets/vekkt/french_CEFR),1,0
,,[Harsit/xnli2.0_train_french](https://huggingface.co/datasets/Harsit/xnli2.0_train_french),0,0
,,[Makxxx/french_CEFR](https://huggingface.co/datasets/Makxxx/french_CEFR),0,0
,,[sugam11/french-snli](https://huggingface.co/datasets/sugam11/french-snli),0,0
,,[Brendan/nlp244_french_snli](https://huggingface.co/datasets/Brendan/nlp244_french_snli),0,0
,,[pvisnrt/french-snli](https://huggingface.co/datasets/pvisnrt/french-snli),0,0
,,[pranjali97/french_translated_snli](https://huggingface.co/datasets/pranjali97/french_translated_snli),0,0
,,[FreedomIntelligence/evol-instruct-french](https://huggingface.co/datasets/FreedomIntelligence/evol-instruct-french),0,0
,,[gollumeo/french-litterature](https://huggingface.co/datasets/gollumeo/french-litterature),0,0
,,[nielsr/datacomp_small_french_captions](https://huggingface.co/datasets/nielsr/datacomp_small_french_captions),0,0
,,[manu/french_5p](https://huggingface.co/datasets/manu/french_5p),0,0
,,[germank/hh-generated_flan_t5_large_with_features2](https://huggingface.co/datasets/germank/hh-generated_flan_t5_large_with_features2),681,0
,,[germank/hh-rlhf_with_features_flan_t5_large](https://huggingface.co/datasets/germank/hh-rlhf_with_features_flan_t5_large),336,0
,,[german-nlp-group/german_common_crawl](https://huggingface.co/datasets/german-nlp-group/german_common_crawl),116,7
,,[mtc/german_seahorse_dataset_with_articles](https://huggingface.co/datasets/mtc/german_seahorse_dataset_with_articles),87,0
,,[roskoN/stereoset_german](https://huggingface.co/datasets/roskoN/stereoset_german),74,0
,,[serbog/job_listing_german_cleaned_bert](https://huggingface.co/datasets/serbog/job_listing_german_cleaned_bert),20,0
,,[germank/hh-generated_flan_t5_large_with_features2_flan_t5_large](https://huggingface.co/datasets/germank/hh-generated_flan_t5_large_with_features2_flan_t5_large),16,0
,,[AgentWaller/german-formatted-oasst1](https://huggingface.co/datasets/AgentWaller/german-formatted-oasst1),15,1
,,[serbog/job_listing_german_cleaned](https://huggingface.co/datasets/serbog/job_listing_german_cleaned),2,0
,,[erebos/germanZickleinLLAMA2Dataset](https://huggingface.co/datasets/erebos/germanZickleinLLAMA2Dataset),2,0
,,[thisserand/health_care_german](https://huggingface.co/datasets/thisserand/health_care_german),1,0
,,[philschmid/prompted-germanquad](https://huggingface.co/datasets/philschmid/prompted-germanquad),0,0
,,[philschmid/test_german_squad](https://huggingface.co/datasets/philschmid/test_german_squad),0,2
,,[Harsit/xnli2.0_german](https://huggingface.co/datasets/Harsit/xnli2.0_german),0,1
,,[Harsit/xnli2.0_train_german](https://huggingface.co/datasets/Harsit/xnli2.0_train_german),0,0
,,[akash418/german_europarl](https://huggingface.co/datasets/akash418/german_europarl),0,0
,,[joelniklaus/german_rental_agreements](https://huggingface.co/datasets/joelniklaus/german_rental_agreements),0,1
,,[fathyshalab/Dialogsum-german](https://huggingface.co/datasets/fathyshalab/Dialogsum-german),0,1
,,[fathyshalab/Dialogsum-german-kurz](https://huggingface.co/datasets/fathyshalab/Dialogsum-german-kurz),0,2
,,[fathyshalab/google-presto-german](https://huggingface.co/datasets/fathyshalab/google-presto-german),0,0
,,[dvilasuero/alpaca-german-validation](https://huggingface.co/datasets/dvilasuero/alpaca-german-validation),0,0
,,[fathyshalab/germanquad_qg_qg_dataset](https://huggingface.co/datasets/fathyshalab/germanquad_qg_qg_dataset),0,0
,,[fathyshalab/germanquad_qaeval_dataset](https://huggingface.co/datasets/fathyshalab/germanquad_qaeval_dataset),0,0
,,[AgentWaller/german-oasst1-qlora-format](https://huggingface.co/datasets/AgentWaller/german-oasst1-qlora-format),0,0
,,[AgentWaller/german-oasst1-qa-format](https://huggingface.co/datasets/AgentWaller/german-oasst1-qa-format),0,0
,,[Jakelolipopp/truthful_qa-validation-german_q_n_a](https://huggingface.co/datasets/Jakelolipopp/truthful_qa-validation-german_q_n_a),0,0
,,[germank/hh-rlhf_with_features](https://huggingface.co/datasets/germank/hh-rlhf_with_features),0,0
,,[germank/hh-rlhf_with_features_flan_t5_large-no_eos](https://huggingface.co/datasets/germank/hh-rlhf_with_features_flan_t5_large-no_eos),0,0
,,[germank/hh-rlhf_with_features_flan_t5_large_lll_relabeled](https://huggingface.co/datasets/germank/hh-rlhf_with_features_flan_t5_large_lll_relabeled),0,0
,,[germank/hh-rlhf_with_features_flan_t5_large_rx](https://huggingface.co/datasets/germank/hh-rlhf_with_features_flan_t5_large_rx),0,0
,,[typevoid/german-company-addresses](https://huggingface.co/datasets/typevoid/german-company-addresses),0,1
,,[paoloitaliani/news_articles](https://huggingface.co/datasets/paoloitaliani/news_articles),40,0
,,[pere/italian_tweets_500k](https://huggingface.co/datasets/pere/italian_tweets_500k),14,0
,,[pere/italian_tweets_10M](https://huggingface.co/datasets/pere/italian_tweets_10M),11,0
,,[thomasavare/italian-dataset-deepl2](https://huggingface.co/datasets/thomasavare/italian-dataset-deepl2),3,0
,,[FreedomIntelligence/sharegpt-italian](https://huggingface.co/datasets/FreedomIntelligence/sharegpt-italian),2,0
,,[thomasavare/italian-dataset-helsinki](https://huggingface.co/datasets/thomasavare/italian-dataset-helsinki),2,0
,,[scribis/italian-literature-corpus-mini](https://huggingface.co/datasets/scribis/italian-literature-corpus-mini),1,0
,,[FreedomIntelligence/alpaca-gpt4-italian](https://huggingface.co/datasets/FreedomIntelligence/alpaca-gpt4-italian),1,0
,,[FreedomIntelligence/evol-instruct-italian](https://huggingface.co/datasets/FreedomIntelligence/evol-instruct-italian),0,1
,,[flxclxc/english-norwegian-bible-set](https://huggingface.co/datasets/flxclxc/english-norwegian-bible-set),0,0
,,[NbAiLab/norwegian-xsum](https://huggingface.co/datasets/NbAiLab/norwegian-xsum),0,4
,,[afkfatih/turkishdataset](https://huggingface.co/datasets/afkfatih/turkishdataset),48,0
,,[merve/turkish_instructions](https://huggingface.co/datasets/merve/turkish_instructions),36,4
,,[W4nkel/turkish-sentiment-dataset](https://huggingface.co/datasets/W4nkel/turkish-sentiment-dataset),16,0
